103.6.207.108,8080,ID,PT Pusat Media Indonesia
38.60.193.247,13300,MY,Kaopu Cloud Hk Limited
129.150.49.58,18650,SG,Oracle Cloud
47.74.254.191,8900,SG,Alibaba
194.127.193.240,50791,SG,Leaseweb Asia
47.245.95.160,1443,SG,Alibaba
213.35.108.135,12596,SG,Oracle Cloud
47.236.119.190,51342,SG,Alibaba
139.180.215.77,57878,SG,Vultr
8.222.220.81,25435,SG,Alibaba
138.2.89.238,43254,SG,Oracle Cloud
129.150.36.188,53435,SG,Oracle Cloud
45.32.100.46,13802,SG,Vultr
178.128.80.43,443,SG,Digital Ocean
194.127.193.124,24467,SG,Leaseweb Asia
138.2.95.61,1111,SG,Oracle Cloud
3.1.94.232,443,SG,Amazoncom
138.2.95.33,17465,SG,Oracle Cloud
129.150.58.86,57621,SG,Oracle Cloud
168.138.170.211,53702,SG,Oracle Cloud
62.72.46.14,8443,SG,Contabo Asia Private
213.35.107.73,443,SG,Oracle Cloud
5.34.176.119,81,SG,Green Floid
194.36.179.5,2053,SG,Neapol Group Ltd
138.2.69.236,23334,SG,Oracle Cloud
8.219.58.164,57373,SG,Alibaba
51.79.158.58,8443,SG,OVH Hosting
51.79.158.58,2053,SG,OVH Hosting
213.35.100.31,47112,SG,Oracle Cloud
31.192.238.71,8443,SG,Chelyabinsk-Signal
31.192.238.71,2053,SG,Chelyabinsk-Signal
15.235.199.103,2053,SG,OVHcloud
15.235.199.103,8443,SG,OVHcloud
158.178.246.142,61731,SG,Oracle Cloud
158.178.243.152,61731,SG,Oracle Cloud
143.198.196.196,8443,SG,Digital Ocean
143.198.196.196,2053,SG,Digital Ocean
168.138.181.188,61731,SG,Oracle Cloud
91.192.81.154,8443,SG,Melbikomas UAB
91.192.81.154,2053,SG,Melbikomas UAB
168.138.171.70,23280,SG,Oracle Cloud
158.178.236.14,61731,SG,Oracle Cloud
146.235.19.79,28983,SG,Oracle Cloud
138.2.89.64,32962,SG,Oracle Cloud
5.223.49.4,2053,SG,Hetzner Online
8.219.59.132,48130,SG,Alibaba
194.36.179.17,2053,SG,Neapol Group Ltd
194.36.179.17,8443,SG,Neapol Group Ltd
185.81.28.95,30503,SG,Akile
64.49.14.41,8443,SG,Latitude-sh
64.49.14.41,2053,SG,Latitude-sh
104.248.145.216,443,SG,Digital Ocean
140.83.57.114,25965,JP,Oracle Cloud
158.101.146.3,54516,JP,Oracle Cloud
158.101.146.3,44872,JP,Oracle Cloud
159.100.194.42,443,JP,Aryaka Networks
198.13.42.58,32954,JP,Vultr
45.76.198.248,443,JP,Vultr
158.101.154.245,47001,JP,Oracle Cloud
150.230.5.34,45681,JP,Oracle Cloud
141.147.183.49,29876,JP,Oracle Cloud
150.230.214.172,16957,JP,Oracle Cloud
138.2.10.217,27446,JP,Oracle Cloud
140.238.62.82,1443,JP,Oracle Cloud
64.176.39.147,16387,JP,Vultr
217.142.230.253,587,JP,Oracle Cloud
212.52.0.61,1846,JP,HostHatch
217.142.250.195,587,JP,Oracle Cloud
3.112.21.102,443,JP,Amazoncom
158.101.152.6,2919,JP,Oracle Cloud
158.101.76.55,21953,JP,Oracle Cloud
152.69.199.70,8443,JP,Oracle Cloud
138.2.59.96,10129,JP,Oracle Cloud
64.110.101.90,55007,JP,Oracle Cloud
38.180.29.115,443,JP,M247 Europe
121.85.55.59,19842,JP,K-Opticom Corporation
138.2.32.76,15821,JP,Oracle Cloud
138.2.49.197,587,JP,Oracle Cloud
141.147.144.15,13357,JP,Oracle Cloud
139.162.102.152,7002,JP,Akamai Connected Cloud
150.230.204.21,10243,JP,Oracle Cloud
141.147.178.249,37043,JP,Oracle Cloud
141.98.197.101,11665,JP,xTom Japan Co
140.83.37.134,46478,JP,Oracle Cloud
219.117.2.190,57517,JP,J:COM
219.117.2.190,48401,JP,J:COM
149.28.21.106,443,JP,Vultr
152.70.82.101,18650,JP,Oracle Cloud
168.138.213.1,50003,JP,Oracle Cloud
140.83.57.20,13118,JP,Oracle Cloud
138.2.10.149,45638,JP,Oracle Cloud
103.75.118.144,2053,JP,BrainStorm Network
118.27.12.40,38443,JP,GMO Internet
132.145.126.40,32498,JP,Oracle Cloud
45.77.25.6,27854,JP,Vultr
45.77.25.6,48828,JP,Vultr
43.133.10.236,33405,JP,Tencent cloud computing
160.16.123.65,443,JP,SAKURA Internet
45.159.51.121,32199,JP,Kaopu Cloud Hk Limited
168.138.46.67,443,JP,Oracle Cloud
168.138.193.174,11959,JP,Oracle Cloud
45.76.192.129,24434,JP,Vultr
131.186.63.89,11655,JP,Oracle Cloud
38.180.28.163,8443,JP,M247 Europe
38.180.28.163,2053,JP,M247 Europe
176.97.70.51,2053,JP,M247 Europe
140.83.59.158,15805,JP,Oracle Cloud
140.83.57.183,22735,JP,Oracle Cloud
141.147.161.249,51037,JP,Oracle Cloud
108.160.139.154,8443,JP,Vultr
138.3.222.124,46209,JP,Oracle Cloud
103.106.228.126,2053,JP,BrainStorm Network
8.209.220.50,21273,JP,Alibaba
168.138.46.115,43138,JP,Oracle Cloud
140.238.37.103,14782,JP,Oracle Cloud
140.83.56.110,56417,JP,Oracle Cloud
103.232.213.117,8080,JP,Akile
168.138.192.16,54584,JP,Oracle Cloud
185.18.222.208,2053,JP,Latitude-sh
168.138.198.7,27560,JP,Oracle Cloud
82.163.16.69,8080,JP,Akile
141.147.152.229,23333,JP,Oracle Cloud
152.69.192.40,57005,JP,Oracle Cloud
193.122.126.64,53777,KR,Oracle Cloud
211.105.35.130,30012,KR,KT
59.22.88.168,50001,KR,KT
222.118.58.2,30041,KR,KT
112.186.12.243,30012,KR,KT
119.198.34.151,50001,KR,KT
211.250.44.142,50001,KR,KT
125.130.15.106,20280,KR,KT
125.130.15.106,27879,KR,KT
152.69.229.175,22558,KR,Oracle Cloud
131.186.24.124,587,KR,Oracle Cloud
158.180.82.203,8443,KR,Oracle Cloud
211.51.176.6,30059,KR,KT
146.56.112.139,19276,KR,Oracle Cloud
119.197.255.195,30036,KR,KT
146.56.99.255,56789,KR,Oracle Cloud
129.154.223.89,15800,KR,Oracle Cloud
132.145.84.148,39567,KR,Oracle Cloud
146.56.162.25,443,KR,Oracle Cloud
152.67.201.16,11002,KR,Oracle Cloud
221.149.11.173,35591,KR,KT
221.149.11.173,15679,KR,KT
144.24.84.212,49888,KR,Oracle Cloud
14.35.29.177,15211,KR,KT
14.35.29.177,15903,KR,KT
118.39.44.24,50000,KR,KT
217.142.138.61,37914,KR,Oracle Cloud
147.46.31.247,30070,KR,Seoul National University
183.96.245.165,50001,KR,KT
129.154.54.67,19567,KR,Oracle Cloud
61.73.36.4,25388,KR,KT
61.73.36.4,25700,KR,KT
61.73.36.4,36863,KR,KT
